Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,3540.000000,3540.000000,3454.300049,3489.800049,3485.827393,197329
2022-06-14,3511.000000,3552.000000,3400.050049,3413.000000,3409.114746,282987
2022-06-15,3414.000000,3521.949951,3404.050049,3465.449951,3461.505127,266198
2022-06-16,3500.000000,3557.000000,3294.250000,3350.649902,3346.835693,323830
2022-06-17,3320.250000,3400.199951,3275.000000,3360.300049,3356.474854,272290
2022-06-20,3392.300049,3398.699951,3260.000000,3325.949951,3322.163818,360697
2022-06-21,3391.949951,3479.550049,3356.000000,3462.050049,3458.108887,292796
2022-06-22,3400.000000,3418.500000,3250.250000,3365.699951,3361.868652,745939
2022-06-23,3365.000000,3436.000000,3330.949951,3392.000000,3388.138672,309614
2022-06-24,3420.000000,3549.850098,3420.000000,3527.350098,3523.334717,380403
2022-06-27,3597.000000,3660.000000,3570.000000,3636.149902,3632.010498,302324
2022-06-28,3640.000000,3695.000000,3591.100098,3664.699951,3660.528320,251343
2022-06-29,3615.000000,3724.300049,3595.149902,3650.899902,3646.743896,300603
2022-06-30,3650.899902,3688.500000,3525.750000,3575.000000,3570.930420,216749
2022-07-01,3575.000000,3606.750000,3517.000000,3595.699951,3591.606689,157931
2022-07-04,3564.750000,3612.750000,3548.000000,3591.399902,3587.311768,119066
2022-07-05,3614.100098,3629.000000,3511.000000,3524.649902,3520.637695,320182
2022-07-06,3508.000000,3681.500000,3508.000000,3668.750000,3664.573730,261838
2022-07-07,3684.949951,3729.949951,3652.399902,3706.000000,3701.781250,191315
2022-07-08,3724.500000,3740.000000,3618.000000,3657.899902,3653.735840,243112
2022-07-11,3621.149902,3749.899902,3621.149902,3741.250000,3736.991211,172012
2022-07-12,3745.649902,3921.699951,3724.199951,3872.399902,3867.991699,768066
2022-07-13,3897.600098,3913.000000,3807.000000,3820.800049,3816.450439,355498
2022-07-14,3850.000000,3850.000000,3685.600098,3699.300049,3695.088867,200366
2022-07-15,3703.000000,3755.550049,3703.000000,3743.100098,3738.839111,125142
2022-07-18,3764.649902,3850.000000,3760.000000,3811.550049,3807.211182,395303
2022-07-19,3824.000000,3850.000000,3792.000000,3812.699951,3808.359619,115205
2022-07-20,3855.000000,3957.000000,3836.000000,3933.649902,3929.171875,332003
2022-07-21,3945.949951,4019.500000,3891.550049,3948.350098,3943.855469,392356
2022-07-22,3970.000000,4005.000000,3832.000000,3856.649902,3852.259521,246782
2022-07-25,3850.000000,3855.000000,3753.000000,3764.050049,3759.765137,187799
2022-07-26,3775.050049,3810.000000,3673.000000,3685.949951,3681.753906,213393
2022-07-27,3685.949951,3738.000000,3615.300049,3700.250000,3696.037842,233956
2022-07-28,3690.000000,3702.000000,3550.000000,3578.500000,3574.426270,686953
2022-07-29,3616.000000,3709.800049,3588.500000,3699.899902,3695.688232,477118
2022-08-01,3720.000000,3796.000000,3696.899902,3748.199951,3743.933105,242629
2022-08-02,3741.000000,3817.000000,3713.800049,3775.750000,3771.451660,186538
2022-08-03,3774.000000,3798.000000,3716.000000,3755.300049,3751.025146,152433
2022-08-04,3780.300049,3867.000000,3760.050049,3836.800049,3832.432373,423079
2022-08-05,3845.000000,3860.000000,3818.000000,3827.300049,3822.943115,211580
2022-08-08,3827.300049,3862.000000,3700.000000,3798.199951,3793.876221,300316
2022-08-10,3794.100098,3915.199951,3751.000000,3845.949951,3841.572021,315042
2022-08-11,3890.000000,4007.800049,3866.000000,3879.899902,3877.499756,504780
2022-08-12,3894.899902,3894.899902,3815.350098,3832.300049,3829.929199,175927
2022-08-16,3875.000000,3920.000000,3792.000000,3899.649902,3897.237549,255949
2022-08-17,3916.000000,4055.000000,3904.050049,4006.149902,4003.671631,623294
2022-08-18,4015.000000,4118.000000,4006.149902,4068.149902,4065.633301,617723
2022-08-19,4093.949951,4115.000000,3938.649902,3989.949951,3987.481689,326704
2022-08-22,3984.949951,4074.949951,3875.000000,4034.500000,4032.004150,358346
2022-08-23,3980.000000,4150.000000,3960.100098,4049.500000,4046.994873,495459
2022-08-24,4069.000000,4146.750000,4051.300049,4090.899902,4088.369141,394160
2022-08-25,4120.750000,4144.950195,4060.000000,4074.399902,4071.879395,261374
2022-08-26,4090.000000,4174.549805,4056.000000,4073.399902,4070.879883,367926
2022-08-29,3925.000000,4038.000000,3922.000000,3981.500000,3979.036865,218694
2022-08-30,4079.949951,4122.049805,4031.050049,4103.700195,4101.161621,294048
2022-09-01,4097.500000,4097.500000,4006.050049,4071.800049,4069.281006,219617
2022-09-02,4095.000000,4198.000000,4070.000000,4109.299805,4106.757813,323294
2022-09-05,4110.850098,4214.950195,4065.649902,4204.700195,4202.099121,692964
2022-09-06,4245.899902,4252.950195,4148.700195,4187.200195,4184.609863,407279
2022-09-07,4182.000000,4380.000000,4170.000000,4362.799805,4360.100586,979853
2022-09-08,4400.000000,4437.500000,4360.000000,4392.799805,4390.082031,437771
2022-09-09,4420.700195,4559.000000,4420.000000,4540.049805,4537.241211,822887
2022-09-12,4540.049805,4580.000000,4473.000000,4497.549805,4494.767578,243129
2022-09-13,4580.000000,4670.000000,4555.049805,4598.450195,4595.605469,699158
2022-09-14,4500.000000,4615.000000,4478.250000,4598.100098,4595.255371,298888
2022-09-15,4620.000000,4650.000000,4570.000000,4584.399902,4581.563965,175553
2022-09-16,4579.200195,4618.850098,4414.250000,4446.700195,4443.949219,264858
2022-09-19,4446.700195,4499.649902,4361.100098,4401.350098,4398.627441,144638
2022-09-20,4450.000000,4548.000000,4425.000000,4493.799805,4491.020020,168592
2022-09-21,4487.950195,4589.950195,4452.000000,4492.450195,4489.670898,254135
2022-09-22,4469.000000,4522.000000,4451.000000,4469.299805,4466.535156,134583
2022-09-23,4475.000000,4512.700195,4301.100098,4314.350098,4311.681152,210879
2022-09-26,4300.000000,4313.950195,4110.500000,4174.049805,4171.467773,297930
2022-09-27,4219.299805,4249.000000,4140.000000,4207.200195,4204.597656,204930
2022-09-28,4207.200195,4308.000000,4160.000000,4253.000000,4250.369141,344191
2022-09-29,4299.850098,4325.100098,4230.000000,4263.149902,4260.512695,168520
2022-09-30,4260.000000,4414.000000,4245.000000,4371.600098,4368.895508,294422
2022-10-03,4374.000000,4428.450195,4262.450195,4299.100098,4296.440430,202663
2022-10-04,4350.250000,4384.149902,4300.000000,4335.500000,4332.817871,145415
2022-10-06,4371.799805,4454.000000,4365.200195,4433.049805,4430.307129,181967
2022-10-07,4399.399902,4500.000000,4277.700195,4314.549805,4311.880859,330155
2022-10-10,4285.000000,4290.000000,4214.500000,4235.600098,4232.979980,281483
2022-10-11,4235.600098,4285.100098,4230.000000,4259.799805,4257.164551,106538
2022-10-12,4280.000000,4338.750000,4239.100098,4278.500000,4275.853027,150495
2022-10-13,4287.000000,4321.500000,4241.500000,4286.700195,4284.048340,135229
2022-10-14,4339.000000,4350.000000,4235.649902,4249.049805,4246.421387,107440
2022-10-17,4252.000000,4285.149902,4185.549805,4280.549805,4277.901855,112819
2022-10-18,4309.000000,4321.000000,4252.049805,4295.799805,4293.142090,124099
2022-10-19,4295.799805,4343.700195,4261.200195,4272.649902,4270.006836,82599
2022-10-20,4233.000000,4314.200195,4206.000000,4295.799805,4293.142090,163846
2022-10-21,4328.200195,4440.000000,4262.000000,4275.000000,4272.355469,521775
2022-10-24,4329.850098,4329.850098,4269.799805,4279.299805,4276.652344,30563
2022-10-25,4288.950195,4347.000000,4275.250000,4324.950195,4322.274414,129945
2022-10-27,4352.000000,4423.000000,4335.100098,4409.149902,4406.422363,182428
2022-10-28,4431.450195,4450.000000,4380.000000,4389.149902,4386.434570,109771
2022-10-31,4405.149902,4525.000000,4392.000000,4516.600098,4513.806152,244152
2022-11-01,4530.000000,4563.700195,4494.100098,4526.950195,4524.149414,211832
2022-11-02,4547.000000,4586.899902,4527.500000,4568.250000,4565.423828,167127
2022-11-03,4502.000000,4588.000000,4502.000000,4533.649902,4530.845215,111996
2022-11-04,4552.000000,4564.100098,4502.000000,4514.450195,4511.657227,62684
2022-11-07,4530.000000,4589.000000,4502.299805,4530.399902,4527.597168,98433
2022-11-09,4550.000000,4620.000000,4514.000000,4539.850098,4537.041504,196466
2022-11-10,4521.049805,4548.000000,4462.100098,4505.850098,4503.062500,81047
2022-11-11,4540.000000,4648.450195,4520.000000,4537.500000,4534.692871,282617
2022-11-14,4560.200195,4603.450195,4510.250000,4591.450195,4588.609863,124028
2022-11-15,4597.000000,4664.950195,4556.100098,4582.799805,4579.964844,243036
2022-11-16,4585.000000,4606.600098,4480.649902,4530.549805,4527.747070,96776
2022-11-17,4499.000000,4506.200195,4376.000000,4386.000000,4383.286621,190650
2022-11-18,4386.000000,4413.049805,4250.950195,4345.899902,4343.211426,299892
2022-11-21,4345.899902,4393.600098,4305.299805,4336.850098,4334.166992,84920
2022-11-22,4356.000000,4368.899902,4320.299805,4347.950195,4345.260254,62939
2022-11-23,4360.000000,4409.950195,4321.000000,4382.950195,4380.238770,98894
2022-11-24,4404.850098,4404.850098,4350.500000,4383.799805,4381.087891,108303
2022-11-25,4380.000000,4454.200195,4353.200195,4368.299805,4365.597656,144700
2022-11-28,4350.700195,4390.100098,4316.000000,4338.100098,4335.416504,139922
2022-11-29,4325.000000,4350.750000,4272.049805,4281.700195,4279.051270,105824
2022-11-30,4299.000000,4313.399902,4207.000000,4251.899902,4249.269531,259144
2022-12-01,4273.149902,4390.000000,4255.000000,4385.350098,4382.637207,250462
2022-12-02,4389.000000,4414.899902,4360.000000,4375.149902,4372.443359,112103
2022-12-05,4380.000000,4405.000000,4344.600098,4368.299805,4365.597656,68056
2022-12-06,4351.799805,4367.000000,4315.549805,4328.600098,4325.922363,52589
2022-12-07,4330.000000,4348.700195,4260.000000,4263.700195,4261.062500,63106
2022-12-08,4284.899902,4285.049805,4140.000000,4164.250000,4161.673828,186779
2022-12-09,4200.000000,4247.549805,4082.649902,4103.899902,4101.360840,226238
2022-12-12,4087.000000,4090.000000,3970.000000,3988.850098,3986.382568,215435
2022-12-13,4002.000000,4102.850098,3989.000000,4085.000000,4082.472900,197807
2022-12-14,4105.899902,4135.649902,4090.000000,4121.899902,4119.350098,211952
2022-12-15,4112.950195,4149.799805,4075.300049,4093.500000,4090.967529,104954
2022-12-16,4061.000000,4089.300049,4007.000000,4026.949951,4024.458740,100746
2022-12-19,4040.000000,4098.600098,3985.899902,4044.500000,4041.997803,137971
2022-12-20,4030.000000,4092.000000,3959.949951,4053.949951,4051.442139,238282
2022-12-21,4095.000000,4157.750000,3925.000000,3940.750000,3938.312012,320403
2022-12-22,3961.500000,3991.850098,3842.000000,3877.000000,3874.601563,179556
2022-12-23,3811.000000,3855.649902,3710.000000,3718.050049,3715.750000,168275
2022-12-26,3736.600098,3848.800049,3671.699951,3817.800049,3815.438232,201269
2022-12-27,3865.000000,3955.000000,3841.600098,3939.399902,3936.962891,331759
2022-12-28,3938.850098,3946.949951,3890.399902,3925.699951,3923.271484,124496
